Model;Cross Validation Accuracy;Train Set Accuracy;Test Set Accuracy;Mean
decision tree;0,8956043956043956;1,0;0,8913043478260869;0,9289695811434941
naive bayes;0,8241758241758241;0,9615384615384616;0,8478260869565217;0,8778467908902692
random forest 200 trees;0,9340659340659341;1,0;0,9782608695652174;0,9707756012103839
k neighbors 5 neigh;0,7802197802197802;0,8956043956043956;0,8478260869565217;0,8412167542602326
gradient boosting 200 est;0,9285714285714286;1,0;0,9130434782608695;0,9472049689440993
ML perceptron default;0,9120879120879121;1,0;0,9347826086956522;0,9489568402611881
linear support vector;0,9230769230769231;1,0;0,8913043478260869;0,9381270903010034
support vector machine;0,9395604395604396;0,989010989010989;0,9565217391304348;0,9616977225672878
Stochastic Gradient Descent;0,9230769230769231;1,0;0,9565217391304348;0,959866220735786
catBoost;0,9505494505494505;1,0;0,9347826086956522;0,9617773530817009
decision tree;0,8956043956043956;1,0;0,8913043478260869;0,9289695811434941
naive bayes;0,8241758241758241;0,9615384615384616;0,8478260869565217;0,8778467908902692
